p_x,p_y,p_z,u_x,u_y,u_z,dot
147.239342033,-2.034651043,31.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,41.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,51.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,61.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,71.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,81.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,91.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,101.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,-2.034651043,111.810019943,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,7.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,17.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,27.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,37.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,47.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,57.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,67.965348956,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,77.965348956,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,87.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,97.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,107.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,117.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
147.239342033,127.965348957,-28.189980057,0.000000000,0.000000000,0.000000000,0.000000000
