p_x,p_y,p_z,u_x,u_y,u_z,mag,dot
-150.000000000,-15.977573423,126.249977970,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-128.349364905,-12.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,129.000621768,-12.345706669,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-12.500000000,-128.349364905,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,64.509356812,126.161770959,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-128.987581191,62.916853049,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,63.961270017,-127.022473759,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,129.116588461,62.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-62.818972621,127.855012165,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,128.349364905,-62.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-63.386570040,-126.219665539,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-128.349364905,-62.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-128.907592390,-111.533121635,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-129.273648670,112.762031519,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,111.379518192,127.732350655,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,129.270484747,-112.441325409,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-128.349364905,-37.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-106.698729811,-25.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-106.698729811,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-85.048094716,-12.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-85.048094716,12.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-63.397459622,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-63.397459622,-25.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-41.746824527,-12.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-41.746824527,12.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-20.096189432,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-20.096189432,25.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,1.554445662,12.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,1.554445662,-12.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,1.554445662,37.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,23.205080757,25.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-41.746824527,-37.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,-42.508935880,37.693831993,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,23.205080757,50.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-150.000000000,44.855715851,37.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
