"normal_distance","arc_length","Points:0","Points:1","Points:2"
51.683,51.428,75.55,37.506,120.14
51.768,51.505,75.548,37.475,120.22
51.854,51.583,75.546,37.445,120.29
51.939,51.661,75.544,37.414,120.36
52.025,51.738,75.542,37.384,120.43
52.11,51.816,75.539,37.353,120.5
52.195,51.893,75.537,37.322,120.57
52.281,51.971,75.535,37.292,120.64
52.366,52.048,75.533,37.261,120.71
52.452,52.126,75.531,37.231,120.79
52.537,52.204,75.528,37.2,120.86
52.622,52.281,75.526,37.17,120.93
52.708,52.359,75.524,37.139,121
52.793,52.436,75.522,37.109,121.07
52.879,52.514,75.52,37.078,121.14
52.964,52.591,75.518,37.047,121.21
53.049,52.669,75.515,37.017,121.28
53.135,52.746,75.513,36.986,121.36
53.22,52.824,75.511,36.956,121.43
53.306,52.902,75.509,36.925,121.5
53.391,52.979,75.507,36.895,121.57
53.476,53.057,75.504,36.864,121.64
